date,department,admissions,billed_amount,avg_wait_min,staff_on_duty,weekend
2024-01-14,Orthopedics,29,"$9,225.57",116.9,3,Yes
2024-01-15,ER,61,"$30,169.09",73.6,12,No
2024-01-15,Cardiology,22,"$12,375.33",80.7,3,No
2024-01-15,Pediatrics,44,"$24,941.58",71.8,7,No
2024-01-15,Orthopedics,18,"$10,662.95",66.7,3,No
2024-01-16,ER,55,"$28,308.23",36.9,16,No
2024-01-16,Cardiology,13,"$4,747.58",N/A,3,No
2024-01-16,Pediatrics,49,"$14,894.10",161.5,4,No
2024-01-16,Orthopedics,22,"$8,617.85",96.6,3,No
2024-01-17,ER,66,"$25,244.95",74.2,11,No
2024-01-17,Cardiology,14,"$4,199.19",40.8,4,No
2024-01-17,Pediatrics,30,"$15,751.72",53.8,7,No
2024-01-17,Orthopedics,22,"$13,090.04",66.3,4,No
2024-01-18,ER,62,"$22,926.33",73.9,10,No
2024-01-18,Cardiology,28,"$11,606.03",38.2,8,No
2024-01-18,Pediatrics,26,"$7,766.36",50.5,7,No
2024-01-18,Orthopedics,6,"$3,629.73",22.6,4,No
2024-01-19,ER,56,"$28,632.46",76.0,9,No
2024-01-19,Cardiology,24,"$11,162.89",70.7,4,No
2024-01-19,Pediatrics,14,"$7,143.40",N/A,9,No
2024-01-19,Orthopedics,17,"$7,311.36",42.2,4,No
2024-01-20,ER,55,"$21,884.41",48.3,15,Yes
2024-01-20,Cardiology,24,"$14,918.13",70.3,4,Yes
2024-01-20,Pediatrics,56,"$26,474.37",89.9,8,Yes
2024-01-20,Orthopedics,31,"$14,625.18",57.3,7,Yes
2024-01-21,ER,62,"$21,877.67",66.9,12,Yes
2024-01-21,Cardiology,31,"$9,741.27",67.9,6,Yes
2024-01-21,Pediatrics,48,"$15,814.41",49.7,10,Yes
2024-01-21,Orthopedics,23,"$12,920.13",99.6,3,Yes
2024-01-22,ER,51,"$25,113.79",61.4,10,No
2024-01-22,Cardiology,27,"$13,124.02",113.8,3,No
2024-01-22,Pediatrics,37,"$21,005.94",148.4,3,No
2024-01-22,Orthopedics,3,$969.31,2.2,7,No
2024-01-23,ER,71,"$30,579.63",108.3,8,No
2024-01-23,Cardiology,31,"$18,705.77",129.3,3,No
2024-01-23,Pediatrics,37,"$14,548.34",59.1,7,No
2024-01-23,Orthopedics,23,"$10,065.85",97.0,3,No
2024-01-24,ER,71,"$43,807.74",73.7,11,No
2024-01-24,Cardiology,31,"$19,690.81",74.5,5,No
2024-01-24,Pediatrics,41,"$24,033.88",64.3,8,No
2024-01-24,Orthopedics,3,"$1,580.98",20.0,3,No
2024-01-25,ER,70,"$27,043.05",N/A,12,No
2024-01-25,Cardiology,18,"$10,991.50",74.2,3,No
2024-01-25,Pediatrics,23,"$13,719.78",27.9,7,No
2024-01-25,Orthopedics,23,"$14,712.59",95.5,3,No
2024-01-26,ER,61,"$36,778.85",77.0,10,No
2024-01-26,Cardiology,19,"$10,633.09",N/A,6,No
2024-01-26,Pediatrics,31,"$9,083.58",49.1,8,No
2024-01-26,Orthopedics,26,"$14,781.87",94.0,3,No
2024-01-27,ER,49,"$27,849.00",61.9,9,Yes
2024-01-27,Cardiology,34,"$19,776.88",107.4,4,Yes
2024-01-27,Pediatrics,53,"$31,079.58",106.5,6,Yes
2024-01-27,Orthopedics,16,"$6,039.57",59.6,3,Yes
2024-01-28,ER,81,"$24,269.23",67.9,13,Yes
2024-01-28,Cardiology,36,"$19,276.13",143.3,3,Yes
2024-01-28,Pediatrics,38,"$24,046.77",54.3,8,Yes
2024-01-28,Orthopedics,31,"$15,068.13",123.1,3,Yes
2024-01-29,ER,70,"$34,166.03",68.3,12,No
2024-01-29,Cardiology,22,"$7,335.64",43.3,7,No
2024-01-29,Pediatrics,37,"$11,947.98",83.8,6,No
2024-01-29,Orthopedics,21,"$9,114.95",68.4,4,No
2024-01-30,ER,59,"$25,202.55",60.6,12,No
2024-01-30,Cardiology,8,"$2,343.85",26.4,3,No
2024-01-30,Pediatrics,50,"$24,304.24",105.5,6,No
2024-01-30,Orthopedics,16,"$8,238.01",46.6,4,No
